eng	y_fit
0.28	0.0
0.29	0.25875
0.3	0.33204
0.31	0.24725
0.32	0.2972776923076923
0.33	0.3473053846153846
0.34	0.3973330769230769
0.35	0.4473607692307693
0.36	0.4973884615384616
0.37	0.5474161538461538
0.38	0.5974438461538462
0.39	0.6474715384615386
0.4	0.6974992307692307
0.41	0.7475269230769231
0.42	0.7975546153846155
0.43	0.8475823076923077
0.44	0.89761
0.45	0.91833
0.46	0.9369
0.47	0.95629
0.48	0.97323
0.49	0.99071
0.5	1.0062
0.51	1.022
0.52	1.0369
0.53	1.051
0.54	1.0651
0.55	1.0776
0.56	1.0902
0.57	1.1022
0.58	1.1134
0.59	1.125
0.6	1.1359
0.61	1.146
0.62	1.1563
0.63	1.1661
0.64	1.1751
0.65	1.1842
0.66	1.1931
0.67	1.2015
0.68	1.2097
0.69	1.2179
0.7	1.2256
0.71	1.2328
0.72	1.2399
0.73	1.2469
0.74	1.2534
0.75	1.2597
0.76	1.266
0.77	1.2723
0.78	1.2782
0.79	1.2838
0.8	1.2895
0.81	1.295
0.82	1.3001
0.83	1.3049
0.84	1.3096
0.85	1.3142
0.86	1.3186
0.87	1.3227
0.88	1.3267
0.89	1.3308
0.9	1.3348
0.91	1.3385
0.92	1.342
0.93	1.3455
0.94	1.3489
0.95	1.3521
0.96	1.355
0.97	1.3578
0.98	1.3605
0.99	1.3631
1.0	1.3655
1.01	1.3678
1.02	1.3699
1.03	1.372
1.04	1.3741
1.05	1.3761
1.06	1.3778
1.07	1.3795
1.08	1.3811
1.09	1.3827
1.1	1.3842
1.11	1.3854
1.12	1.3865
1.13	1.3876
1.14	1.3886
1.15	1.3895
1.16	1.3903
1.17	1.3909
1.18	1.3915
1.19	1.392
1.2	1.3925
1.21	1.3929
1.22	1.3931
1.23	1.3933
1.24	1.3934
1.25	1.3935
1.26	1.3935
1.27	1.3935
1.28	1.3933
1.29	1.393
1.3	1.3926
1.31	1.3922
1.32	1.3918
1.33	1.3913
1.34	1.3907
1.35	1.39
1.36	1.3892
1.37	1.3884
1.38	1.3876
1.39	1.3867
1.4	1.3857
1.41	1.3846
1.42	1.3835
1.43	1.3823
1.44	1.3811
1.45	1.3799
1.46	1.3786
1.47	1.3772
1.48	1.3758
1.49	1.3743
1.5	1.3728
1.51	1.3713
1.52	1.3697
1.53	1.3681
1.54	1.3664
1.55	1.3646
1.56	1.3628
1.57	1.361
1.58	1.3592
1.59	1.3573
1.6	1.3554
1.61	1.3534
1.62	1.3514
1.63	1.3493
1.64	1.3473
1.65	1.3452
1.66	1.3431
1.67	1.3409
1.68	1.3387
1.69	1.3365
1.7	1.3342
1.71	1.3319
1.72	1.3296
1.73	1.3273
1.74	1.325
1.75	1.3226
1.76	1.3201
1.77	1.3177
1.78	1.3152
1.79	1.3128
1.8	1.3103
1.81	1.3078
1.82	1.3053
1.83	1.3027
1.84	1.3001
1.85	1.2976
1.86	1.295
1.87	1.2924
1.88	1.2898
1.89	1.2872
1.9	1.2845
1.91	1.2819
1.92	1.2792
1.93	1.2765
1.94	1.2739
1.95	1.2712
1.96	1.2685
1.97	1.2658
1.98	1.263
1.99	1.2603
2.0	1.2576
2.01	1.2549
2.02	1.2521
2.03	1.2494
2.04	1.2467
2.05	1.244
2.06	1.2412
2.07	1.2385
2.08	1.2358
2.09	1.2331
2.1	1.2304
2.11	1.2277
2.12	1.225
2.13	1.2223
2.14	1.2196
2.15	1.2169
2.16	1.2142
2.17	1.2115
2.18	1.2089
2.19	1.2062
2.2	1.2036
2.21	1.2009
2.22	1.1983
2.23	1.1956
2.24	1.193
2.25	1.1904
2.26	1.1878
2.27	1.1852
2.28	1.1827
2.29	1.1801
2.3	1.1776
2.31	1.1751
2.32	1.1725
2.33	1.17
2.34	1.1676
2.35	1.1651
2.36	1.1626
2.37	1.1602
2.38	1.1578
2.39	1.1554
2.4	1.153
2.41	1.1506
2.42	1.1482
2.43	1.1459
2.44	1.1435
2.45	1.1412
2.46	1.1389
2.47	1.1366
2.48	1.1343
2.49	1.1321
2.5	1.1298
2.51	1.1276
2.52	1.1254
2.53	1.1232
2.54	1.121
2.55	1.1188
2.56	1.1166
2.57	1.1145
2.58	1.1124
2.59	1.1103
2.6	1.1082
2.61	1.1061
2.62	1.104
2.63	1.102
2.64	1.0999
2.65	1.0979
2.66	1.0959
2.67	1.0939
2.68	1.0919
2.69	1.09
2.7	1.088
2.71	1.0861
2.72	1.0841
2.73	1.0822
2.74	1.0803
2.75	1.0784
2.76	1.0766
2.77	1.0747
2.78	1.0728
2.79	1.071
2.8	1.0692
2.81	1.0673
2.82	1.0655
2.83	1.0637
2.84	1.0619
2.85	1.0602
2.86	1.0584
2.87	1.0567
2.88	1.0549
2.89	1.0532
2.9	1.0515
2.91	1.0497
2.92	1.048
2.93	1.0463
2.94	1.0447
2.95	1.043
2.96	1.0413
2.97	1.0396
2.98	1.038
2.99	1.0364
3.0	1.0347
3.01	1.0331
3.02	1.0315
3.03	1.0299
3.04	1.0282
3.05	1.0267
3.06	1.0251
3.07	1.0235
3.08	1.0219
3.09	1.0203
3.1	1.0188
3.11	1.0172
3.12	1.0156
3.13	1.0141
3.14	1.0126
3.15	1.011
3.16	1.0095
3.17	1.008
3.18	1.0064
3.19	1.0049
3.2	1.0034
3.21	1.0019
3.22	1.0004
3.23	0.99891
3.24	0.99742
3.25	0.99593
3.26	0.99444
3.27	0.99296
3.28	0.99148
3.29	0.99
3.3	0.98853
3.31	0.98706
3.32	0.98559
3.33	0.98413
3.34	0.98267
3.35	0.98121
3.36	0.97975
3.37	0.9783
3.38	0.97685
3.39	0.9754
3.4	0.97395
3.41	0.9725
3.42	0.97106
3.43	0.96962
3.44	0.96817
3.45	0.96673
3.46	0.9653
3.47	0.96386
3.48	0.96242
3.49	0.96099
3.5	0.95955
3.51	0.95812
3.52	0.95668
3.53	0.95525
3.54	0.95382
3.55	0.95238
3.56	0.95095
3.57	0.94952
3.58	0.94809
3.59	0.94666
3.6	0.94523
3.61	0.94379
3.62	0.94236
3.63	0.94093
3.64	0.9395
3.65	0.93806
3.66	0.93663
3.67	0.9352
3.68	0.93376
3.69	0.93233
3.7	0.93089
3.71	0.92946
3.72	0.92802
3.73	0.92659
3.74	0.92515
3.75	0.92371
3.76	0.92227
3.77	0.92083
3.78	0.91939
3.79	0.91795
3.8	0.91651
3.81	0.91507
3.82	0.91362
3.83	0.91218
3.84	0.91073
3.85	0.90929
3.86	0.90784
3.87	0.90639
3.88	0.90495
3.89	0.9035
3.9	0.90205
3.91	0.9006
3.92	0.89915
3.93	0.89769
3.94	0.89624
3.95	0.89479
3.96	0.89333
3.97	0.89188
3.98	0.89042
3.99	0.88897
4.0	0.88751
4.01	0.88606
4.02	0.8846
4.03	0.88314
4.04	0.88168
4.05	0.88022
4.06	0.87876
4.07	0.8773
4.08	0.87584
4.09	0.87438
4.1	0.87292
4.11	0.87146
4.12	0.87
4.13	0.86854
4.14	0.86708
4.15	0.86562
4.16	0.86416
4.17	0.8627
4.18	0.86124
4.19	0.85978
4.2	0.85831
4.21	0.85685
4.22	0.85539
4.23	0.85393
4.24	0.85247
4.25	0.85101
4.26	0.84955
4.27	0.84809
4.28	0.84664
4.29	0.84518
4.3	0.84372
4.31	0.84226
4.32	0.84081
4.33	0.83935
4.34	0.8379
4.35	0.83644
4.36	0.83499
4.37	0.83354
4.38	0.83209
4.39	0.83063
4.4	0.82918
4.41	0.82774
4.42	0.82629
4.43	0.82484
4.44	0.82339
4.45	0.82195
4.46	0.82051
4.47	0.81906
4.48	0.81762
4.49	0.81618
4.5	0.81474
4.51	0.81331
4.52	0.81187
4.53	0.81044
4.54	0.809
4.55	0.80757
4.56	0.80614
4.57	0.80471
4.58	0.80328
4.59	0.80186
4.6	0.80043
4.61	0.79901
4.62	0.79759
4.63	0.79617
4.64	0.79476
4.65	0.79334
4.66	0.79193
4.67	0.79051
4.68	0.7891
4.69	0.7877
4.7	0.78629
4.71	0.78489
4.72	0.78348
4.73	0.78208
4.74	0.78069
4.75	0.77929
4.76	0.7779
4.77	0.7765
4.78	0.77512
4.79	0.77373
4.8	0.77234
4.81	0.77096
4.82	0.76958
4.83	0.7682
4.84	0.76682
4.85	0.76545
4.86	0.76408
4.87	0.76271
4.88	0.76134
4.89	0.75998
4.9	0.75861
4.91	0.75725
4.92	0.75589
4.93	0.75454
4.94	0.75319
4.95	0.75184
4.96	0.75049
4.97	0.74914
4.98	0.7478
4.99	0.74646
5.0	0.74512
5.01	0.74379
5.02	0.74245
5.03	0.74112
5.04	0.7398
5.05	0.73847
5.06	0.73715
5.07	0.73583
5.08	0.73451
5.09	0.7332
5.1	0.73188
5.11	0.73057
5.12	0.72927
5.13	0.72796
5.14	0.72666
5.15	0.72536
5.16	0.72406
5.17	0.72277
5.18	0.72148
5.19	0.72019
5.2	0.7189
5.21	0.71762
5.22	0.71634
5.23	0.71506
5.24	0.71379
5.25	0.71251
5.26	0.71124
5.27	0.70998
5.28	0.70871
5.29	0.70745
5.3	0.70619
5.31	0.70493
5.32	0.70367
5.33	0.70242
5.34	0.70117
5.35	0.69992
5.36	0.69868
5.37	0.69744
5.38	0.6962
5.39	0.69496
5.4	0.69373
5.41	0.69249
5.42	0.69126
5.43	0.69004
5.44	0.68881
5.45	0.68759
5.46	0.68637
5.47	0.68515
5.48	0.68394
5.49	0.68272
5.5	0.68151
5.51	0.68031
5.52	0.6791
5.53	0.6779
5.54	0.6767
5.55	0.6755
5.56	0.6743
5.57	0.67311
5.58	0.67192
5.59	0.67073
5.6	0.66954
5.61	0.66836
5.62	0.66717
5.63	0.66599
5.64	0.66481
5.65	0.66364
5.66	0.66247
5.67	0.66129
5.68	0.66012
5.69	0.65896
5.7	0.65779
5.71	0.65663
5.72	0.65547
5.73	0.65431
5.74	0.65315
5.75	0.652
5.76	0.65085
5.77	0.6497
5.78	0.64855
5.79	0.6474
5.8	0.64626
5.81	0.64512
5.82	0.64398
5.83	0.64284
5.84	0.6417
5.85	0.64057
5.86	0.63943
5.87	0.6383
5.88	0.63718
5.89	0.63605
5.9	0.63493
5.91	0.6338
5.92	0.63268
5.93	0.63156
5.94	0.63045
5.95	0.62933
5.96	0.62822
5.97	0.62711
5.98	0.626
5.99	0.62489
6.0	0.62379
6.01	0.62268
6.02	0.62158
6.03	0.62048
6.04	0.61938
6.05	0.61828
6.06	0.61719
6.07	0.6161
6.08	0.61501
6.09	0.61392
6.1	0.61283
6.11	0.61174
6.12	0.61066
6.13	0.60958
6.14	0.6085
6.15	0.60742
6.16	0.60634
6.17	0.60527
6.18	0.60419
6.19	0.60312
6.2	0.60205
6.21	0.60098
6.22	0.59992
6.23	0.59885
6.24	0.59779
6.25	0.59673
6.26	0.59567
6.27	0.59461
6.28	0.59355
6.29	0.5925
6.3	0.59144
6.31	0.59039
6.32	0.58934
6.33	0.5883
6.34	0.58725
6.35	0.5862
6.36	0.58516
6.37	0.58412
6.38	0.58308
6.39	0.58204
6.4	0.58101
6.41	0.57997
6.42	0.57894
6.43	0.57791
6.44	0.57688
6.45	0.57585
6.46	0.57482
6.47	0.5738
6.48	0.57278
6.49	0.57175
6.5	0.57073
6.51	0.56972
6.52	0.5687
6.53	0.56768
6.54	0.56667
6.55	0.56566
6.56	0.56465
6.57	0.56364
6.58	0.56263
6.59	0.56163
