k,lower_state,lower_v,A_s_inv
1,B1Su,0,2.499027e+06
1,B1Su,1,1.599377e+06
1,B1Su,2,6.157602e+05
1,B1Su,3,1.729327e+05
1,B1Su,4,3.728548e+04
1,B1Su,5,5.617812e+03
2,B1Su,1,1.494274e+04
2,B1Su,2,8.684842e+04
2,B1Su,3,2.386827e+05
2,B1Su,4,3.128950e+05
2,B1Su,5,1.835250e+05
2,B1Su,6,3.710614e+04
3,B1Su,0,7.442228e+03
3,B1Su,1,8.264685e+04
3,B1Su,2,3.430245e+05
3,B1Su,3,6.007944e+05
3,B1Su,4,3.520515e+05
3,B1Su,5,1.584733e+04
3,B1Su,6,5.305847e+04
3,B1Su,7,5.165428e+04
3,B1Su,8,3.480395e+03
4,B1Su,0,5.210883e+06
4,B1Su,1,5.840990e+03
4,B1Su,2,5.420919e+05
4,B1Su,3,7.961349e+05
4,B1Su,4,4.240719e+05
4,B1Su,5,1.510256e+05
4,B1Su,6,5.020851e+04
4,B1Su,7,5.901000e+03
4,B1Su,9,6.681132e+03
4,C1Pu,0,7.161213e+03
5,B1Su,0,6.957723e+03
5,B1Su,1,2.839887e+05
5,B1Su,2,8.245815e+05
5,B1Su,3,7.049005e+05
5,B1Su,4,1.298234e+05
5,B1Su,5,1.034530e+05
5,B1Su,6,1.430086e+05
5,B1Su,9,1.328661e+04
6,B1Su,0,1.222021e+05
6,B1Su,1,8.474016e+05
6,B1Su,2,1.181955e+06
6,B1Su,3,5.088416e+05
6,B1Su,4,2.934854e+03
6,B1Su,5,3.445699e+05
6,B1Su,6,2.343877e+04
6,B1Su,7,7.522442e+04
6,B1Su,8,3.485765e+04
6,B1Su,10,8.574181e+03
7,B1Su,0,3.706463e+06
7,B1Su,1,5.174870e+06
7,B1Su,2,2.714022e+05
7,B1Su,3,2.825418e+04
7,B1Su,5,4.617888e+05
7,B1Su,6,3.736844e+05
7,B1Su,7,4.617888e+04
7,B1Su,8,8.142066e+03
7,B1Su,9,1.964628e+04
7,B1Su,10,4.628015e+03
7,C1Pu,1,4.941951e+03
8,B1Su,0,1.779193e+05
8,B1Su,1,8.688574e+04
8,B1Su,2,2.914383e+06
8,B1Su,3,2.019329e+05
8,B1Su,4,9.114270e+04
8,B1Su,5,5.566800e+04
8,B1Su,6,7.629790e+03
8,B1Su,7,2.958045e+05
8,B1Su,8,2.663332e+04
8,B1Su,9,3.121774e+04
8,B1Su,11,1.056600e+04
8,B1Su,12,8.142809e+03
8,C1Pu,1,2.073906e+03
9,B1Su,0,1.277398e+05
9,B1Su,1,2.156248e+06
9,B1Su,2,2.381070e+06
9,B1Su,3,2.135809e+05
9,B1Su,4,4.353372e+05
9,B1Su,5,6.203044e+03
9,B1Su,6,6.346112e+04
9,B1Su,7,8.216223e+04
9,B1Su,8,1.962083e+05
9,B1Su,9,1.032137e+03
9,B1Su,10,2.493481e+04
9,C1Pu,1,2.023398e+03
10,B1Su,0,4.535742e+05
10,B1Su,1,3.079825e+06
10,B1Su,2,3.723788e+05
10,B1Su,3,2.389198e+06
10,B1Su,4,5.049046e+05
10,B1Su,5,4.321088e+05
10,B1Su,6,5.655679e+04
10,B1Su,7,2.426529e+03
10,B1Su,8,1.166600e+05
10,B1Su,9,1.633240e+05
10,B1Su,10,1.297260e+04
10,B1Su,11,5.385027e+03
10,B1Su,12,4.545075e+03
10,B1Su,13,2.277204e+03
10,C1Pu,1,3.863780e+03
11,B1Su,0,2.104178e+05
11,B1Su,1,4.022273e+05
11,B1Su,2,8.874766e+05
11,B1Su,3,1.588869e+06
11,B1Su,4,1.412805e+04
11,B1Su,5,8.287886e+04
11,B1Su,6,8.144745e+05
11,B1Su,7,7.500609e+04
11,B1Su,8,3.721676e+03
11,B1Su,9,6.398420e+04
11,B1Su,10,1.946723e+05
11,B1Su,11,3.263624e+04
11,B1Su,12,2.462032e+04
11,B1Su,13,4.737980e+03
11,C1Pu,1,1.717697e+03
11,C1Pu,2,5.668399e+03
11,C1Pu,3,2.762629e+03
12,B1Su,0,5.920306e+03
12,B1Su,1,2.023186e+05
12,B1Su,2,2.023186e+06
12,B1Su,5,6.699731e+05
12,B1Su,6,4.626794e+05
12,B1Su,7,6.368061e+05
12,B1Su,8,1.213912e+04
12,B1Su,9,7.694740e+03
12,B1Su,10,6.766065e+04
12,B1Su,11,1.757850e+05
12,B1Su,13,6.285143e+03
12,B1Su,14,6.616813e+03
12,C1Pu,2,1.293512e+04
13,B1Su,0,1.026782e+04
13,B1Su,1,4.100425e+05
13,B1Su,2,6.636655e+05
13,B1Su,3,3.351846e+04
13,B1Su,4,6.659001e+05
13,B1Su,5,1.664750e+06
13,B1Su,6,5.698138e+04
13,B1Su,7,4.524992e+05
13,B1Su,8,3.228945e+05
13,B1Su,9,6.915976e+03
13,B1Su,11,4.390918e+04
13,B1Su,12,9.485725e+04
13,B1Su,13,1.921725e+04
13,B1Su,14,1.474812e+03
13,B1Su,15,4.078079e+03
13,C1Pu,2,9.027639e+03
14,B1Su,0,1.607184e+04
14,B1Su,1,1.886694e+05
14,B1Su,2,2.385820e+04
14,B1Su,3,7.157460e+05
14,B1Su,4,7.117530e+03
14,B1Su,5,1.088094e+06
14,B1Su,6,8.804574e+05
14,B1Su,7,2.665330e+03
14,B1Su,8,4.362357e+05
14,B1Su,9,2.285995e+05
14,B1Su,10,2.765155e+03
14,B1Su,11,1.088094e+03
14,B1Su,12,2.515593e+04
14,B1Su,13,6.368842e+04
14,B1Su,14,1.816817e+04
14,B1Su,16,3.234333e+03
14,C1Pu,2,3.254298e+03
14,C1Pu,3,3.603686e+03
14,C1Pu,4,1.527324e+03
15,B1Su,0,8.135779e+03
15,B1Su,1,2.021436e+04
15,B1Su,2,6.824848e+04
15,B1Su,3,2.902061e+05
15,B1Su,4,3.892765e+05
15,B1Su,5,1.511073e+05
15,B1Su,6,1.160825e+06
15,B1Su,7,3.942800e+05
15,B1Su,8,6.994968e+04
15,B1Su,9,4.202985e+05
15,B1Su,10,1.370974e+05
15,B1Su,12,1.971400e+03
15,B1Su,13,1.751244e+04
15,B1Su,14,4.923497e+04
15,B1Su,15,1.631159e+04
15,B1Su,17,2.671898e+03
15,C1Pu,3,9.726909e+03
15,C1Pu,4,2.932083e+03
16,B1Su,0,5.184210e+03
16,B1Su,1,5.274213e+03
16,B1Su,2,2.736111e+05
16,B1Su,3,5.778234e+04
16,B1Su,4,9.450382e+05
16,B1Su,5,7.974323e+04
16,B1Su,6,1.047642e+06
16,B1Su,7,1.260051e+06
16,B1Su,8,1.944079e+05
16,B1Su,9,3.240131e+05
16,B1Su,10,6.552265e+05
16,B1Su,11,1.432858e+05
16,B1Su,13,1.908077e+03
16,B1Su,14,2.808114e+04
16,B1Su,15,7.056286e+04
16,B1Su,16,2.592105e+04
16,B1Su,18,3.546144e+03
16,C1Pu,3,1.872076e+04
17,B1Su,1,2.015201e+04
17,B1Su,2,1.223157e+05
17,B1Su,3,3.148126e+03
17,B1Su,4,2.767142e+05
17,B1Su,5,2.977686e+05
17,B1Su,6,5.614491e+04
17,B1Su,7,8.431763e+05
17,B1Su,8,6.286225e+05
17,B1Su,9,7.348968e+03
17,B1Su,10,2.676909e+05
17,B1Su,11,3.158151e+05
17,B1Su,12,5.664621e+04
17,B1Su,15,1.203105e+04
17,B1Su,16,2.987712e+04
17,B1Su,17,1.313390e+04
17,B1Su,19,1.193079e+03
17,C1Pu,3,1.704399e+03
17,C1Pu,4,3.679497e+03
17,C1Pu,5,2.837323e+03
18,B1Su,0,3.549096e+03
18,B1Su,1,1.604111e+04
18,B1Su,2,6.416444e+04
18,B1Su,3,5.804877e+03
18,B1Su,4,2.917477e+04
18,B1Su,5,2.536500e+05
18,B1Su,6,5.413875e+04
18,B1Su,7,2.055267e+05
18,B1Su,8,6.957831e+05
18,B1Su,9,3.228273e+05
18,B1Su,10,9.033150e+03
18,B1Su,11,2.917477e+05
18,B1Su,12,2.516449e+05
18,B1Su,13,4.100509e+04
18,B1Su,15,1.203083e+03
18,B1Su,16,5.744722e+03
18,B1Su,17,1.985087e+04
18,B1Su,18,1.132903e+04
18,B1Su,19,1.303340e+03
18,C1Pu,3,1.443700e+03
18,C1Pu,4,1.914907e+04
18,C1Pu,5,5.885082e+03
19,B1Su,0,3.765970e+05
19,B1Su,1,5.563593e+04
19,B1Su,2,2.078816e+05
19,B1Su,3,7.300961e+04
19,B1Su,4,5.543508e+04
