k,upper_state,upper_v,coeff
1,EF1Sg,0,9.999980e-01
2,EF1Sg,1,9.999940e-01
3,EF1Sg,2,9.999710e-01
4,EF1Sg,3,9.999550e-01
5,EF1Sg,4,9.998940e-01
6,EF1Sg,5,9.977850e-01
8,EF1Sg,5,6.322000e-02
9,EF1Sg,5,2.058000e-02
10,EF1Sg,5,2.451000e-02
7,EF1Sg,6,9.994890e-01
8,EF1Sg,7,9.991120e-01
9,EF1Sg,8,9.987620e-01
10,EF1Sg,8,1.787000e-02
9,EF1Sg,9,1.602000e-02
10,EF1Sg,9,9.768400e-01
11,EF1Sg,9,3.119400e-02
13,EF1Sg,9,2.169100e-02
19,EF1Sg,9,2.684300e-02
20,EF1Sg,9,2.581700e-02
10,EF1Sg,10,2.857400e-02
11,EF1Sg,10,9.965610e-01
12,EF1Sg,10,2.754700e-02
14,EF1Sg,10,2.198600e-02
19,EF1Sg,10,3.024300e-02
28,EF1Sg,10,2.284700e-02
11,EF1Sg,11,2.529500e-02
12,EF1Sg,11,9.463660e-01
13,EF1Sg,11,3.877300e-02
15,EF1Sg,11,1.946900e-02
16,EF1Sg,11,1.861500e-02
30,EF1Sg,11,2.042600e-02
31,EF1Sg,11,1.994800e-02
12,EF1Sg,12,3.523500e-02
13,EF1Sg,12,9.936290e-01
14,EF1Sg,12,5.788200e-02
16,EF1Sg,12,2.186300e-02
17,EF1Sg,12,2.753400e-02
18,EF1Sg,12,2.425300e-02
19,EF1Sg,12,2.512300e-02
20,EF1Sg,12,2.591200e-02
21,EF1Sg,12,2.306300e-02
30,EF1Sg,12,2.583000e-02
31,EF1Sg,12,2.009300e-02
13,EF1Sg,13,5.061300e-02
14,EF1Sg,13,9.907410e-01
15,EF1Sg,13,6.357200e-02
17,EF1Sg,13,3.047900e-02
18,EF1Sg,13,4.259800e-02
19,EF1Sg,13,5.202200e-02
20,EF1Sg,13,3.361700e-02
21,EF1Sg,13,2.579200e-02
27,EF1Sg,13,2.755400e-02
28,EF1Sg,13,2.656300e-02
35,EF1Sg,13,3.019300e-02
15,EF1Sg,14,9.909110e-01
16,EF1Sg,14,5.979300e-02
18,EF1Sg,14,3.674600e-02
