k,energy_cm_inv,A_tot_s_inv
1,99170.76,4.930000e+06
2,99364.19,8.740000e+05
3,100560.40,1.510000e+06
4,101500.45,7.200000e+06
5,101700.78,2.210000e+06
6,102778.08,3.150000e+06
7,103560.45,1.010000e+07
8,103840.30,3.910000e+06
9,104729.03,5.690000e+06
10,105383.52,7.600000e+06
11,105971.18,4.410000e+06
12,106716.61,4.290000e+06
13,107428.37,4.460000e+06
14,108103.77,3.710000e+06
15,108800.92,3.210000e+06
16,109501.05,5.140000e+06
17,110169.53,2.960000e+06
18,110801.14,2.310000e+06
19,111384.27,1.870000e+06
20,111641.21,1.090000e+07
21,111836.35,4.800000e+07
22,112115.26,2.340000e+06
23,112722.08,2.140000e+06
24,112968.52,9.040000e+06
25,113279.99,9.830000e+06
26,113415.18,1.040000e+07
27,113875.22,7.420000e+06
28,114089.88,2.070000e+07
29,114529.67,4.030000e+06
30,115037.39,2.620000e+06
31,115142.60,1.370000e+07
32,115292.95,2.330000e+07
33,115587.61,5.500000e+06
34,116068.19,4.070000e+06
35,116219.18,1.940000e+07
36,116530.06,3.160000e+06
37,116953.54,5.150000e+06
38,117131.51,1.290000e+07
39,117371.86,9.180000e+06
40,117418.36,2.930000e+07
41,117736.79,4.370000e+06
42,117930.23,1.320000e+07
43,118068.83,8.060000e+05
44,118282.78,1.290000e+06
