state,upper_v,A_cont_s_inv,A_bound_s_inv,A_tot_s_inv,tau_s,f_cont
B1Su,0,5.632E+00,1.868E+09,1.868E+09,5.353E-10,3.015E-09
B1Su,1,1.145E+02,1.741E+09,1.741E+09,5.744E-10,6.579E-08
B1Su,2,2.197E+04,1.632E+09,1.632E+09,6.127E-10,1.346E-05
B1Su,3,1.774E+05,1.536E+09,1.536E+09,6.510E-10,1.155E-04
B1Su,4,2.153E+06,1.448E+09,1.450E+09,6.897E-10,1.485E-03
B1Su,5,2.341E+07,1.349E+09,1.372E+09,7.289E-10,1.706E-02
B1Su,6,4.019E+07,1.261E+09,1.301E+09,7.686E-10,3.089E-02
B1Su,7,2.609E+08,9.751E+08,1.236E+09,8.091E-10,2.111E-01
B1Su,8,3.424E+08,8.346E+08,1.177E+09,8.496E-10,2.909E-01
B1Su,9,4.659E+08,6.561E+08,1.122E+09,8.913E-10,4.152E-01
B1Su,10,4.398E+08,6.322E+08,1.072E+09,9.328E-10,4.103E-01
B1Su,11,4.176E+08,6.074E+08,1.025E+09,9.756E-10,4.074E-01
B1Su,12,5.127E+08,4.677E+08,9.804E+08,1.020E-09,5.229E-01
B1Su,13,4.798E+08,4.593E+08,9.391E+08,1.065E-09,5.109E-01
B1Su,14,4.883E+08,4.120E+08,9.003E+08,1.111E-09,5.424E-01
B1Su,15,4.824E+08,3.816E+08,8.640E+08,1.157E-09,5.583E-01
B1Su,16,4.601E+08,3.700E+08,8.301E+08,1.205E-09,5.543E-01
B1Su,17,4.803E+08,3.187E+08,7.990E+08,1.252E-09,6.011E-01
B1Su,18,4.681E+08,3.021E+08,7.702E+08,1.298E-09,6.077E-01
B1Su,19,4.716E+08,2.723E+08,7.439E+08,1.344E-09,6.339E-01
B1Su,20,4.589E+08,2.610E+08,7.199E+08,1.389E-09,6.374E-01
B1Su,21,4.486E+08,2.495E+08,6.981E+08,1.432E-09,6.426E-01
B1Su,22,4.417E+08,2.366E+08,6.783E+08,1.474E-09,6.512E-01
B1Su,23,4.346E+08,2.252E+08,6.598E+08,1.516E-09,6.587E-01
B1Su,24,4.349E+08,2.079E+08,6.428E+08,1.556E-09,6.766E-01
B1Su,25,4.330E+08,1.936E+08,6.266E+08,1.596E-09,6.910E-01
B1Su,26,4.359E+08,1.763E+08,6.122E+08,1.633E-09,7.120E-01
B1Su,27,4.387E+08,1.620E+08,6.007E+08,1.665E-09,7.303E-01
B1Su,28,4.496E+08,1.474E+08,5.970E+08,1.675E-09,7.531E-01
B1Su,29,4.658E+08,1.357E+08,6.015E+08,1.663E-09,7.744E-01
B1Su,30,4.861E+08,1.256E+08,6.117E+08,1.635E-09,7.947E-01
B1Su,31,5.103E+08,1.151E+08,6.254E+08,1.599E-09,8.160E-01
