# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=0) -> e + H2(b3Su) (dissociative excitation)
# Initial-state energy: -1.16453 Hartrees
#
# Threshold: 4.47713E+00 eV
#
# Energy (eV)   CS (a_0^2)
  4.47713E+00   0.00000E+00
  4.50000E+00   3.65638E-11
  5.00000E+00   9.12261E-10
  5.50000E+00   1.91336E-07
  6.00000E+00   1.51906E-06
  6.50000E+00   8.77055E-05
  7.00000E+00   6.85591E-04
  7.50000E+00   3.96110E-03
  8.00000E+00   2.42357E-02
  8.50000E+00   5.94141E-02
  9.00000E+00   2.03386E-01
  9.50000E+00   3.68516E-01
  1.00000E+01   6.97126E-01
  1.05000E+01   1.04393E+00
  1.10000E+01   1.31774E+00
  1.15000E+01   1.57736E+00
  1.20000E+01   1.64439E+00
  1.25000E+01   1.64148E+00
  1.30000E+01   1.61195E+00
  1.35000E+01   1.55701E+00
  1.40000E+01   1.46833E+00
  1.45000E+01   1.39367E+00
  1.50000E+01   1.32276E+00
  1.55000E+01   1.26053E+00
  1.60000E+01   1.20267E+00
  1.65000E+01   1.14808E+00
  1.70000E+01   1.09566E+00
  1.75000E+01   1.04394E+00
  1.80000E+01   9.92888E-01
  1.85000E+01   9.43523E-01
  1.90000E+01   8.96870E-01
  1.95000E+01   8.53953E-01
  2.00000E+01   8.15794E-01
  2.10000E+01   7.47760E-01
  2.20000E+01   6.85142E-01
  2.30000E+01   6.27541E-01
  2.40000E+01   5.74555E-01
  2.50000E+01   5.25786E-01
  2.60000E+01   4.80832E-01
  2.70000E+01   4.39293E-01
  2.80000E+01   4.00770E-01
  2.90000E+01   3.64862E-01
  3.00000E+01   3.31168E-01
  3.50000E+01   2.19139E-01
  4.00000E+01   1.61404E-01
  4.50000E+01   1.17703E-01
  5.00000E+01   9.14989E-02
  6.00000E+01   6.08651E-02
  7.00000E+01   4.26436E-02
  8.00000E+01   3.55071E-02
  9.00000E+01   2.71182E-02
  1.00000E+02   2.04645E-02
  1.25000E+02   1.04015E-02
  1.50000E+02   5.59338E-03
