# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=10) -> e + H2(b3Su) (dissociative excitation)
# Initial-state energy: -1.02258 Hartrees
#
# Threshold: 6.13907E-01 eV
#
# Energy (eV)   CS (a_0^2)
  6.13907E-01   0.00000E+00
  1.00000E+00   6.45086E+00
  1.50000E+00   7.82128E+00
  2.00000E+00   8.02000E+00
  2.50000E+00   7.54425E+00
  3.00000E+00   6.87036E+00
  3.50000E+00   6.60749E+00
  4.00000E+00   6.43484E+00
  4.50000E+00   6.21690E+00
  5.00000E+00   6.00698E+00
  5.50000E+00   5.82247E+00
  6.00000E+00   5.63561E+00
  6.50000E+00   5.41924E+00
  7.00000E+00   5.18894E+00
  7.50000E+00   4.94968E+00
  8.00000E+00   4.70614E+00
  8.50000E+00   4.47024E+00
  9.00000E+00   4.22519E+00
  9.50000E+00   3.94829E+00
  1.00000E+01   3.66920E+00
  1.05000E+01   3.40904E+00
  1.10000E+01   3.17070E+00
  1.15000E+01   2.96863E+00
  1.20000E+01   2.78925E+00
  1.25000E+01   2.62218E+00
  1.30000E+01   2.47223E+00
  1.35000E+01   2.34502E+00
  1.40000E+01   2.22780E+00
  1.45000E+01   2.10602E+00
  1.50000E+01   1.99069E+00
  1.55000E+01   1.88540E+00
  1.60000E+01   1.78527E+00
  1.65000E+01   1.69141E+00
  1.70000E+01   1.60495E+00
  1.75000E+01   1.52441E+00
  1.80000E+01   1.44795E+00
  1.85000E+01   1.37618E+00
  1.90000E+01   1.30967E+00
  1.95000E+01   1.24903E+00
  2.00000E+01   1.19484E+00
  2.10000E+01   1.09806E+00
  2.20000E+01   1.01025E+00
  2.30000E+01   9.30574E-01
  2.40000E+01   8.58208E-01
  2.50000E+01   7.92324E-01
  2.60000E+01   7.32091E-01
  2.70000E+01   6.76682E-01
  2.80000E+01   6.25268E-01
  2.90000E+01   5.77021E-01
  3.00000E+01   5.31112E-01
  3.50000E+01   3.75788E-01
  4.00000E+01   2.94516E-01
  4.50000E+01   2.34036E-01
  5.00000E+01   1.98329E-01
  6.00000E+01   1.51891E-01
  7.00000E+01   1.07033E-01
  8.00000E+01   7.66937E-02
  9.00000E+01   5.52465E-02
  1.00000E+02   4.05063E-02
  1.25000E+02   2.09322E-02
  1.50000E+02   1.11447E-02
