# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=12) -> e + H2(a3Sg) (dissociative excitation)
# Initial-state energy: -1.00823 Hartrees
#
# Threshold: 1.04282E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.04282E+01   0.00000E+00
  1.05000E+01   3.57937E-04
  1.15000E+01   1.81706E-02
  1.20000E+01   3.22327E-02
  1.25000E+01   4.44509E-02
  1.30000E+01   4.92511E-02
  1.35000E+01   5.38901E-02
  1.40000E+01   5.42075E-02
  1.45000E+01   5.36440E-02
  1.50000E+01   5.10058E-02
  1.55000E+01   4.84169E-02
  1.60000E+01   4.62165E-02
  1.65000E+01   4.47390E-02
  1.70000E+01   4.34264E-02
  1.75000E+01   4.23920E-02
  1.80000E+01   4.06064E-02
  1.85000E+01   3.89251E-02
  1.90000E+01   3.72152E-02
  1.95000E+01   3.54627E-02
  2.00000E+01   3.36960E-02
  2.10000E+01   3.02091E-02
  2.20000E+01   2.69840E-02
  2.30000E+01   2.40804E-02
  2.40000E+01   2.15045E-02
  2.50000E+01   1.92367E-02
  2.60000E+01   1.72470E-02
  2.70000E+01   1.55028E-02
  2.80000E+01   1.39727E-02
  2.90000E+01   1.26280E-02
  3.00000E+01   1.14435E-02
  3.50000E+01   7.26114E-03
  4.00000E+01   4.87513E-03
  4.50000E+01   3.43488E-03
  5.00000E+01   2.51041E-03
  6.00000E+01   1.45816E-03
  7.00000E+01   9.20589E-04
  8.00000E+01   6.17858E-04
  9.00000E+01   4.34548E-04
  1.00000E+02   3.17132E-04
  1.25000E+02   1.62683E-04
  1.50000E+02   9.42620E-05
