# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=12) -> e + H2(c3Pu) (dissociative excitation)
# Initial-state energy: -1.00823 Hartrees
#
# Threshold: 1.04282E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.04282E+01   0.00000E+00
  1.05000E+01   3.83589E-04
  1.15000E+01   1.81128E-02
  1.20000E+01   3.04223E-02
  1.25000E+01   4.13195E-02
  1.30000E+01   5.40200E-02
  1.35000E+01   6.34577E-02
  1.40000E+01   6.51711E-02
  1.45000E+01   6.60105E-02
  1.50000E+01   6.62360E-02
  1.55000E+01   6.63732E-02
  1.60000E+01   6.80540E-02
  1.65000E+01   6.83500E-02
  1.70000E+01   6.75172E-02
  1.75000E+01   6.61224E-02
  1.80000E+01   6.43442E-02
  1.85000E+01   6.23136E-02
  1.90000E+01   6.01881E-02
  1.95000E+01   5.80043E-02
  2.00000E+01   5.58122E-02
  2.10000E+01   5.15156E-02
  2.20000E+01   4.74429E-02
  2.30000E+01   4.36546E-02
  2.40000E+01   4.01692E-02
  2.50000E+01   3.69846E-02
  2.60000E+01   3.40860E-02
  2.70000E+01   3.14524E-02
  2.80000E+01   2.90621E-02
  2.90000E+01   2.68925E-02
  3.00000E+01   2.49225E-02
  3.50000E+01   1.74286E-02
  4.00000E+01   1.26275E-02
  4.50000E+01   9.43383E-03
  5.00000E+01   7.23342E-03
  6.00000E+01   4.52878E-03
  7.00000E+01   3.02697E-03
  8.00000E+01   2.12639E-03
  9.00000E+01   1.55189E-03
  1.00000E+02   1.16852E-03
  1.25000E+02   6.37536E-04
  1.50000E+02   3.86893E-04
