# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=13) -> e + H2(g3Sg) (dissociative excitation)
# Initial-state energy: -1.00346 Hartrees
#
# Threshold: 1.21882E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.21882E+01   0.00000E+00
  1.25000E+01   7.98709E-05
  1.30000E+01   6.29476E-04
  1.35000E+01   1.26604E-03
  1.40000E+01   1.61467E-03
  1.45000E+01   1.90014E-03
  1.50000E+01   2.29126E-03
  1.55000E+01   2.28277E-03
  1.60000E+01   2.48785E-03
  1.65000E+01   2.26532E-03
  1.70000E+01   2.20869E-03
  1.75000E+01   2.10848E-03
  1.80000E+01   2.05798E-03
  1.85000E+01   2.00797E-03
  1.90000E+01   1.95158E-03
  1.95000E+01   1.88254E-03
  2.00000E+01   1.80367E-03
  2.10000E+01   1.61453E-03
  2.20000E+01   1.45104E-03
  2.30000E+01   1.30500E-03
  2.40000E+01   1.20069E-03
  2.50000E+01   1.08436E-03
  2.60000E+01   9.81598E-04
  2.70000E+01   8.90047E-04
  2.80000E+01   8.08972E-04
  2.90000E+01   7.37231E-04
  3.00000E+01   6.73584E-04
  3.50000E+01   4.44251E-04
  4.00000E+01   3.07998E-04
  4.50000E+01   2.22218E-04
  5.00000E+01   1.65588E-04
  6.00000E+01   9.92260E-05
  7.00000E+01   6.47022E-05
  8.00000E+01   4.63115E-05
  9.00000E+01   3.68278E-05
  1.00000E+02   3.22081E-05
  1.25000E+02   3.16453E-05
  1.50000E+02   3.51420E-05
