# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=13) -> e + H2(j3Dg) (dissociative excitation)
# Initial-state energy: -1.00346 Hartrees
#
# Threshold: 1.21882E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.21882E+01   0.00000E+00
  1.25000E+01   2.89526E-05
  1.30000E+01   1.82964E-04
  1.35000E+01   4.02529E-04
  1.40000E+01   6.73878E-04
  1.45000E+01   1.00439E-03
  1.50000E+01   1.35378E-03
  1.55000E+01   1.45091E-03
  1.60000E+01   1.71769E-03
  1.65000E+01   1.70734E-03
  1.70000E+01   1.79779E-03
  1.75000E+01   1.79540E-03
  1.80000E+01   1.78848E-03
  1.85000E+01   1.85416E-03
  1.90000E+01   1.82362E-03
  1.95000E+01   1.77443E-03
  2.00000E+01   1.71524E-03
  2.10000E+01   1.58998E-03
  2.20000E+01   1.46422E-03
  2.30000E+01   1.34466E-03
  2.40000E+01   1.23394E-03
  2.50000E+01   1.13293E-03
  2.60000E+01   1.04065E-03
  2.70000E+01   9.57055E-04
  2.80000E+01   8.81387E-04
  2.90000E+01   8.12989E-04
  3.00000E+01   7.51171E-04
  3.50000E+01   5.19041E-04
  4.00000E+01   3.71828E-04
  4.50000E+01   2.75503E-04
  5.00000E+01   2.09808E-04
  6.00000E+01   1.29926E-04
  7.00000E+01   8.60915E-05
  8.00000E+01   6.00422E-05
  9.00000E+01   4.35827E-05
  1.00000E+02   3.26652E-05
  1.25000E+02   1.76536E-05
  1.50000E+02   1.06351E-05
