# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=3) -> e + H2(i3Pg) (dissociative excitation)
# Initial-state energy: -1.11083 Hartrees
#
# Threshold: 1.32202E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.32202E+01   0.00000E+00
  1.35000E+01   2.02957E-05
  1.40000E+01   7.54426E-04
  1.45000E+01   1.40300E-03
  1.50000E+01   4.12917E-03
  1.55000E+01   6.80204E-03
  1.60000E+01   7.13164E-03
  1.65000E+01   7.74409E-03
  1.70000E+01   9.12006E-03
  1.75000E+01   9.89451E-03
  1.80000E+01   1.03574E-02
  1.85000E+01   1.02312E-02
  1.90000E+01   1.00107E-02
  1.95000E+01   9.70601E-03
  2.00000E+01   9.36143E-03
  2.10000E+01   8.61110E-03
  2.20000E+01   7.86380E-03
  2.30000E+01   7.16404E-03
  2.40000E+01   6.53591E-03
  2.50000E+01   5.96071E-03
  2.60000E+01   5.43955E-03
  2.70000E+01   4.97002E-03
  2.80000E+01   4.54811E-03
  2.90000E+01   4.16933E-03
  3.00000E+01   3.82919E-03
  3.50000E+01   2.57387E-03
  4.00000E+01   1.80694E-03
  4.50000E+01   1.31584E-03
  5.00000E+01   9.87739E-04
  6.00000E+01   5.98120E-04
  7.00000E+01   3.89764E-04
  8.00000E+01   2.68296E-04
  9.00000E+01   1.92687E-04
  1.00000E+02   1.43143E-04
  1.25000E+02   7.60471E-05
  1.50000E+02   4.52409E-05
