# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(h3Sg) (dissociative excitation)
# Initial-state energy: -1.09503 Hartrees
#
# Threshold: 1.27902E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.27902E+01   0.00000E+00
  1.30000E+01   6.18293E-04
  1.35000E+01   3.57688E-03
  1.40000E+01   7.98405E-03
  1.45000E+01   1.11765E-02
  1.50000E+01   2.05944E-02
  1.55000E+01   3.04010E-02
  1.60000E+01   3.44296E-02
  1.65000E+01   3.20193E-02
  1.70000E+01   3.41960E-02
  1.75000E+01   3.57253E-02
  1.80000E+01   3.38316E-02
  1.85000E+01   3.33988E-02
  1.90000E+01   3.29964E-02
  1.95000E+01   3.20007E-02
  2.00000E+01   3.06850E-02
  2.10000E+01   2.78389E-02
  2.20000E+01   2.54067E-02
  2.30000E+01   2.21351E-02
  2.40000E+01   1.97171E-02
  2.50000E+01   1.76064E-02
  2.60000E+01   1.57722E-02
  2.70000E+01   1.41775E-02
  2.80000E+01   1.27873E-02
  2.90000E+01   1.15711E-02
  3.00000E+01   1.05033E-02
  3.50000E+01   6.74513E-03
  4.00000E+01   4.58346E-03
  4.50000E+01   3.25623E-03
  5.00000E+01   2.39625E-03
  6.00000E+01   1.40722E-03
  7.00000E+01   8.96010E-04
  8.00000E+01   6.05493E-04
  9.00000E+01   4.28275E-04
  1.00000E+02   3.14058E-04
  1.25000E+02   1.62820E-04
  1.50000E+02   9.51297E-05
