# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=9) -> e + H2(d3Pu) (dissociative excitation)
# Initial-state energy: -1.03181 Hartrees
#
# Threshold: 1.29595E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.29595E+01   0.00000E+00
  1.30000E+01   3.20468E-05
  1.35000E+01   8.80256E-04
  1.40000E+01   2.75948E-03
  1.45000E+01   4.89726E-03
  1.50000E+01   6.57416E-03
  1.55000E+01   8.69371E-03
  1.60000E+01   1.17569E-02
  1.65000E+01   1.51576E-02
  1.70000E+01   1.57402E-02
  1.75000E+01   1.63607E-02
  1.80000E+01   1.79190E-02
  1.85000E+01   1.86545E-02
  1.90000E+01   1.88496E-02
  1.95000E+01   1.87875E-02
  2.00000E+01   1.85551E-02
  2.10000E+01   1.77970E-02
  2.20000E+01   1.67934E-02
  2.30000E+01   1.57684E-02
  2.40000E+01   1.47467E-02
  2.50000E+01   1.37380E-02
  2.60000E+01   1.27839E-02
  2.70000E+01   1.18897E-02
  2.80000E+01   1.10584E-02
  2.90000E+01   1.02894E-02
  3.00000E+01   9.58036E-03
  3.50000E+01   6.80402E-03
  4.00000E+01   4.96712E-03
  4.50000E+01   3.72788E-03
  5.00000E+01   2.86669E-03
  6.00000E+01   1.80046E-03
  7.00000E+01   1.20494E-03
  8.00000E+01   8.46723E-04
  9.00000E+01   6.18302E-04
  1.00000E+02   4.65696E-04
  1.25000E+02   2.54006E-04
  1.50000E+02   1.54016E-04
