vi,threshold_eV,a9,a8,a7,a6,a5,a4,a3,a2,a1,a0,max_relative_error,rms_log_error
0,4.47709,0.003888927308020291,-0.020573686682313373,-0.009731931315992039,0.19808911758336412,-0.20671971538782005,-0.35850441891762896,0.7322279669590211,-1.4903410328374898,4.134457916216248,-22.360669344399483,0.15316928249236852,0.05169072239438456
1,3.96062,0.003195017322943556,-0.014769455922569789,-0.019779141807634907,0.16710750661073853,-0.0973164331666358,-0.4250754845852772,0.6536694609451962,-1.1411589132504216,3.1256318054237466,-21.285712475135067,0.10384890937780139,0.03800514616184881
2,3.47353,0.0005605858248938445,-0.0048736813942555765,0.00824239408746699,0.03603462314608916,-0.12739671757199386,0.017781509808968345,0.46116550237929493,-1.307723058275667,2.7418437840268775,-20.707691591118035,0.05754840958499507,0.01835397654328942
3,3.01557,-0.000624425759982204,0.0028853419317645475,0.002958826512063781,-0.023715472181723908,-0.0018348068048672198,0.046734219478751095,0.18528644328982355,-0.9801261248789936,2.3704485253187526,-20.37299859934956,0.009277223125413634,0.005258084733609131
4,2.58535,0.00016330678479456015,-0.00035683271044331866,-0.003986032131153278,0.014570437367748386,0.007568415777458671,-0.10589944165395046,0.24476469747472276,-0.6742164299341644,1.8289367904404035,-19.931132734829244,0.009065728453753218,0.003474886266137905
5,2.1829,0.0001779655556626622,-0.0009135108786238014,-0.0011295296520704647,0.013708714136945029,-0.013316136097034064,-0.06448820262962775,0.2205544897037753,-0.6166395719599498,1.634255485343158,-19.69727845763304,0.0029311550566886893,0.0015501169149243325
6,1.80929,5.5931050743387055e-05,-0.0006070272663370719,0.0014379870766463286,0.005414934173000722,-0.02293406058029073,-0.010932017585318587,0.17882372492570203,-0.5772573570061174,1.4121602358246386,-19.357101248877534,0.0007220939020894092,0.00017000667588717514
7,1.46424,-3.574218689660254e-05,-1.05705713876962e-06,0.0012991397787206396,-0.001109347689448386,-0.01178222641108833,0.007341466320638698,0.09996248189795878,-0.4244193338279057,1.1476496837986536,-19.08383302181966,0.0033584159570647794,0.0011234409330890456
8,1.14914,-7.641395214052796e-05,0.0005435710052448883,-0.0005575455072713652,-0.0024876094190387056,0.0050422451766472184,-0.01253306037451384,0.06707059879130148,-0.2679816609405093,0.804065539067333,-18.68645436595185,0.005585746119894406,0.0015415110616442324
9,0.86505,-9.596578592010643e-05,0.0004706960873811356,0.0006854438716485419,-0.005648358567137516,0.005761312503967583,-0.009064209208642714,0.054390369265985804,-0.1577041976607907,0.45409476515787306,-18.254346341014763,0.0017105935715622947,0.00044071860330543566
10,0.613889,-1.0482170743161424e-06,-9.425692341470028e-05,0.0008769139693174431,-0.0009772656320828671,-0.00498567646262653,-0.0009324087349347894,0.051483276541238056,-0.11634272795019747,0.2433118576814877,-17.891640730811105,0.000544766591656504,0.0002979334511172714
11,0.398919,-0.00011552775059128771,0.0006067649327508331,0.0004073368050289514,-0.005475921945653077,0.004962085190703032,-0.009998770314127442,0.07351599378056521,-0.14983883020065886,0.14924009071595695,-17.601180537668252,0.00350429697780668,0.000988827643135779
12,0.223678,6.51799713108442e-05,-0.0003986786560704518,0.0003786135324316414,0.0031316843143557867,-0.00976082990670658,-0.0037539297341401445,0.06756850788093623,-0.15296191942358303,0.14715064372143027,-17.457892603808016,0.0011441363507007508,0.0005132409983604508
13,0.0938795,5.4204782742685744e-06,9.660680418538758e-06,-0.00011730367774046389,0.001080251769106609,-0.00576602177763128,0.005958547129962051,0.028535973989129326,-0.08916273148507829,0.046506700836294664,-17.233081745922632,0.0012212187725333897,0.0003613044647306707
14,0.0174155,-5.87317633316662e-05,0.00040888589555391125,-0.0004180457391926315,-0.0022172182804993494,0.004505246366193175,-0.003855090355797462,0.03920057515664974,-0.11070457161293393,0.06619100423733897,-17.071973646824706,0.0007428345315491867,0.0003709563623524232
