vi,threshold_eV,a9,a8,a7,a6,a5,a4,a3,a2,a1,a0,max_relative_error,rms_log_error,n_resolved_channels
0,4.47713,0.0004367761243279556,-0.002157858362399595,-0.0023170427320805963,0.029745677012525507,-0.060682424884687405,0.03215016602902982,0.32135455703394106,-1.8851452061952825,4.399046400522929,-22.49376802271666,0.026450032883563266,0.008243529523287428,252
1,3.96072,-0.00012047443325755677,0.00027957863409058993,0.0005228109065318151,0.008820970331760807,-0.05235573420111314,0.048582104540311324,0.3206010802753587,-1.583738244331227,3.4415797668570725,-21.490760625195417,0.01654043070152364,0.005459732463691187,252
2,3.47357,0.000926517943057089,-0.004905756485180289,-0.002580859504388545,0.05057710438252782,-0.0641231380596074,-0.07396246373939003,0.35469702577593637,-1.221621164752958,2.7503121467071074,-20.813595186070152,0.01551560440289543,0.007141549827065677,252
3,3.01548,0.001033357803656521,-0.0042991880019174165,-0.009539634201912884,0.058694896180633976,-0.028760374441729002,-0.13534951052918484,0.2793339899983787,-0.9205523956112139,2.246202099810972,-20.285209853428913,0.03992910011587003,0.015340937752826954,251
4,2.58528,0.00038162741138987285,-0.0022845370726343062,0.00020259956175372446,0.02184360199642509,-0.03877035507567962,-0.01869747425320321,0.20707018881269584,-0.8309915305531004,1.8756357482749229,-19.827344892284117,0.006786611834225034,0.00271907957234443,252
5,2.18299,0.0005264987968838747,-0.002102809348480916,-0.005644854224856033,0.03156688224402278,-0.012006619660526591,-0.07894554189625828,0.16451978050614763,-0.6199043992411567,1.5396991526775967,-19.460777131164757,0.01960348339533022,0.007354686818446971,252
6,1.80932,8.202033661494637e-05,-0.0006634032164718444,0.0009236383073222018,0.0051134858475428415,-0.018824431367379605,0.021020245861355567,0.07633370256729739,-0.5529907877832929,1.3175712554212782,-19.144928211877772,0.0020437692771108017,0.0006182436954433365,252
7,1.46426,0.0001527941111693757,-0.0006450990573705144,-0.0017680311802914437,0.011124952761208664,-0.008235796162244798,-0.020502922442903585,0.08849771572269258,-0.4448418382823384,1.0501817168132581,-18.811358294698802,0.004877480874655415,0.0016373652435203027,252
8,1.1492,-5.237997250804697e-05,0.0001540282390705176,0.0008841314222395808,-0.0036078518978373665,-0.002383441519601988,0.03603556524349097,-0.0380546551962058,-0.24079144456519921,0.7406813582907655,-18.487399120772036,0.0008996593891900175,0.0005399333244898281,252
9,0.864974,3.543783194614508e-05,-0.0002079872135531939,-0.00017690761380263217,0.0023235630750473094,-0.00045663495083109076,-0.0050665283655044755,0.02359829561455659,-0.22534637452593212,0.5632663305172698,-18.202888341679984,0.0006961921710961006,0.00024983682776155995,252
10,0.613907,1.252379171792633e-05,-9.125319358267191e-05,-0.00015512908320424942,0.001536137828063021,0.000907544569230682,-0.007346647315645576,0.004576782928463359,-0.07544281469818319,0.17215159414306844,-17.733110240152122,0.0005382523965310226,0.0002491196295149778,252
11,0.398827,2.7036953930708395e-05,-0.0001966216636389942,-0.00016056000990236744,0.0034707666758315844,-0.0032362392383976663,-0.017169219193113996,0.04598828395401097,-0.08909835647223818,0.007594925889395362,-17.388489082341934,0.0003888967910335989,0.0001785977370977983,252
12,0.223682,2.8709135433333397e-05,-0.00024133484853496699,6.431541330558328e-05,0.0037042715609396765,-0.006732345503457627,-0.01361679960475657,0.06310755704520755,-0.14123196601986338,0.03242087007755013,-17.237292796860014,0.0005153739655011042,0.0001817747597557109,252
13,0.0940169,2.4865340222892997e-05,-0.00022741171939385464,0.00013889364937861936,0.003402110642804693,-0.007296035467661665,-0.010490747083022008,0.06609811654353573,-0.18348344720621157,0.13248704641126102,-17.19535853340488,0.0005392871938703662,0.0001754939229349848,252
14,0.017459,2.3772157348606755e-05,-0.00022519071858588795,9.187230799812801e-05,0.003321824810725627,-0.006079806909436021,-0.009585659604111335,0.06522088724326228,-0.20811487678644963,0.22255958817526536,-17.128471178898145,0.0005888433476409508,0.00018873601808504608,252
