# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(EF1Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  4  1.04086E+01   -2.35830E-05   8.47950E-02  -3.10560E-01   5.96100E-01  -3.43600E-01  -4.53170E-02
   1 <-  4  1.04305E+01   -5.73560E-11   2.06280E-08  -4.85050E-08   9.18730E-08  -6.42970E-08   2.41360E-08
   2 <-  4  1.05787E+01   -1.00150E-09   1.07570E-05  -3.33570E-05   5.02590E-05  -4.48450E-06  -2.36190E-05
   3 <-  4  1.06973E+01    3.49040E-05   6.65760E-01  -2.05380E+00   2.63240E+00   8.86430E-01  -2.24640E+00
   4 <-  4  1.07197E+01    4.07110E-06   1.99350E-03  -6.11230E-03   7.39830E-03   3.76930E-03  -7.46670E-03
   5 <-  4  1.08526E+01   -4.59800E-07   1.41270E-05  -2.15280E-04   1.00280E-03  -1.76890E-03   1.04590E-03
   6 <-  4  1.09485E+01    4.18950E-07   9.59950E-02  -3.44920E-01   7.04740E-01  -5.80100E-01   1.60640E-01
   7 <-  4  1.09859E+01   -1.31520E-06   5.35890E-02  -1.81470E-01   3.22250E-01  -1.82250E-01   1.87010E-03
   8 <-  4  1.10924E+01   -5.62870E-06   5.39890E-02  -1.64310E-01   2.10660E-01   3.48000E-02  -1.27470E-01
   9 <-  4  1.11761E+01    2.08390E-05   1.34840E-01  -3.87340E-01   3.90950E-01   3.31330E-01  -4.50780E-01
  10 <-  4  1.12532E+01    5.07220E-02   8.35240E-02  -2.14160E-01   1.07680E-01   4.52510E-01  -4.13750E-01
  11 <-  4  1.13441E+01    6.63660E-02   2.32540E-02  -3.03180E-02  -1.17810E-01   4.00400E-01  -2.66720E-01
  12 <-  4  1.14338E+01    6.35570E-02  -1.25970E-03   3.49460E-02  -1.61010E-01   2.89040E-01  -1.57320E-01
  13 <-  4  1.15202E+01    3.40450E-02  -3.39210E-03   1.79330E-02  -5.04420E-02   6.67060E-02  -2.97080E-02
  14 <-  4  1.16069E+01    2.39210E-06   2.60590E-03  -1.05750E-02   2.63910E-02  -2.65110E-02   8.24540E-03
  15 <-  4  1.16933E+01   -5.69850E-07   1.26910E-02  -3.89250E-02   5.77330E-02  -9.40310E-03  -1.90860E-02
  16 <-  4  1.17781E+01   -5.35580E-06   2.52360E-02  -7.28110E-02   9.09430E-02   1.41710E-02  -4.72950E-02
  17 <-  4  1.18608E+01   -6.62980E-06   3.56430E-02  -1.02310E-01   1.28350E-01   8.02030E-03  -4.95960E-02
  18 <-  4  1.19417E+01    3.03180E-07   4.12230E-02  -1.19690E-01   1.59850E-01  -2.45590E-02  -2.74460E-02
  19 <-  4  1.20209E+01    1.08040E-05   4.18730E-02  -1.21530E-01   1.67470E-01  -4.80150E-02  -4.50770E-03
  20 <-  4  1.20979E+01    7.37270E-06   3.94440E-02  -1.19990E-01   1.91780E-01  -1.19030E-01   4.73360E-02
  21 <-  4  1.21727E+01   -2.78340E-06   3.48800E-02  -1.13890E-01   2.14950E-01  -1.97460E-01   1.02510E-01
  22 <-  4  1.22452E+01   -6.77220E-07   2.90190E-02  -1.02250E-01   2.22150E-01  -2.51110E-01   1.41460E-01
  23 <-  4  1.23151E+01    1.20350E-05   2.29420E-02  -8.92880E-02   2.22940E-01  -2.90130E-01   1.69110E-01
  24 <-  4  1.23826E+01    3.06330E-05   1.72370E-02  -7.49030E-02   2.10680E-01  -3.00290E-01   1.77650E-01
  25 <-  4  1.24473E+01   -1.04610E-06   1.23110E-02  -6.03190E-02   1.87770E-01  -2.84750E-01   1.69540E-01
  26 <-  4  1.25090E+01   -2.34670E-05   8.32290E-03  -4.64400E-02   1.57690E-01  -2.50010E-01   1.49220E-01
  27 <-  4  1.25675E+01    3.80140E-06   5.31040E-03  -3.44200E-02   1.26380E-01  -2.07230E-01   1.23630E-01
  28 <-  4  1.26222E+01    7.15840E-06   3.10710E-03  -2.34610E-02   9.18330E-02  -1.54390E-01   9.20740E-02
  29 <-  4  1.26725E+01    1.96810E-06   1.64240E-03  -1.47450E-02   6.11270E-02  -1.04860E-01   6.24750E-02
  30 <-  4  1.27173E+01    5.61780E-06   7.72840E-04  -8.49640E-03   3.70980E-02  -6.46580E-02   3.84570E-02
  31 <-  4  1.27548E+01    9.96480E-06   3.24340E-04  -4.39880E-03   1.99850E-02  -3.51540E-02   2.08380E-02
  32 <-  4  1.27814E+01   -6.70670E-06   1.14310E-04  -1.77210E-03   8.20060E-03  -1.44390E-02   8.52240E-03
  DE <-  4  1.27902E+01    3.70610E-01  -2.08960E-01   2.49620E+00  -1.03740E+01   1.83010E+01  -1.05850E+01
