# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(J1Dg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  4  1.20475E+01    1.21180E-05   1.47460E-02  -2.24880E-02   1.24540E-01  -2.53840E-01   1.91490E-01
   1 <-  4  1.23229E+01    9.31760E-07   5.70420E-02  -4.62970E-02   3.51150E-01  -7.71830E-01   6.09700E-01
   2 <-  4  1.25828E+01   -7.96270E-06   2.36760E-03  -2.71930E-02   1.23120E-01  -2.15880E-01   1.31240E-01
   3 <-  4  1.28238E+01    1.14100E-06   1.73330E-02  -4.01540E-03   6.76260E-02  -1.60500E-01   1.41790E-01
   4 <-  4  1.30521E+01    2.57980E-06   8.05830E-03   1.33080E-02  -2.47740E-02   2.43280E-02   1.92060E-03
   5 <-  4  1.32668E+01   -2.11480E-06   4.98840E-04  -1.28690E-03   8.72370E-03  -1.50570E-02   8.42060E-03
   6 <-  4  1.34671E+01    1.78550E-02  -2.06880E-04   9.91010E-03  -3.00680E-02   4.18210E-02  -1.91520E-02
   7 <-  4  1.36531E+01    1.49880E-02   2.55670E-03   1.23580E-02  -3.20950E-02   4.15370E-02  -1.51670E-02
   8 <-  4  1.38253E+01   -1.60210E-07   4.57180E-03   6.97370E-04   1.77080E-02  -4.02500E-02   3.12530E-02
   9 <-  4  1.39831E+01    2.51050E-07   4.16430E-03  -7.81100E-03   5.28650E-02  -9.81030E-02   6.27210E-02
  10 <-  4  1.41271E+01   -4.91040E-06   2.95450E-03  -1.02510E-02   5.75400E-02  -1.02800E-01   6.28760E-02
  11 <-  4  1.42565E+01   -1.34300E-06   1.68770E-03  -7.59330E-03   3.99900E-02  -7.01690E-02   4.20740E-02
  12 <-  4  1.43709E+01    1.08930E-06   7.19570E-04  -3.03540E-03   1.59840E-02  -2.77950E-02   1.66260E-02
  13 <-  4  1.44694E+01    1.57810E-07   2.13150E-04  -4.52080E-04   2.68410E-03  -4.56870E-03   2.79260E-03
  14 <-  4  1.45511E+01    4.05870E-03  -1.80260E-05   3.32170E-04  -8.55350E-04   1.25110E-03  -6.33370E-04
  15 <-  4  1.46142E+01    4.89090E-08   6.72260E-06  -1.20190E-05   3.56150E-05  -8.87320E-06  -1.82770E-05
  16 <-  4  1.46568E+01   -1.64320E-06   8.98520E-06  -1.40810E-04   6.41340E-04  -1.09660E-03   6.24110E-04
  17 <-  4  1.46770E+01   -1.17360E-07   4.22290E-06  -6.50510E-05   3.00500E-04  -5.18880E-04   2.98410E-04
  18 <-  4  1.46797E+01   -6.86020E-08   2.43820E-07  -3.73020E-06   1.72550E-05  -2.98180E-05   1.71640E-05
  DE <-  4  1.46798E+01    1.84120E-01  -1.16660E-01   6.96890E-01  -1.93990E+00   2.70070E+00  -1.35980E+00
