# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2(B1Su) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  7  8.17078E+00    1.12210E+00   7.01000E-02  -2.20840E+00   8.21390E+00  -7.30010E+00   2.08530E+00
   1 <-  7  8.33466E+00    2.11300E+00   6.93220E-01  -9.93170E+00   3.32850E+01  -3.01520E+01   9.02430E+00
   2 <-  7  8.49392E+00    4.67490E-01  -2.39270E-02  -1.99230E-01   1.08630E+00  -1.18290E+00   5.07440E-01
   3 <-  7  8.64882E+00    1.38060E+00   3.34060E-01  -4.12740E+00   1.39600E+01  -1.36000E+01   4.75170E+00
   4 <-  7  8.79951E+00    5.11480E-01   1.18870E-02  -3.40640E-01   1.21790E+00  -9.80990E-01   1.96930E-01
   5 <-  7  8.94608E+00    5.18970E-01   1.87070E-01  -1.30610E+00   3.77680E+00  -4.05570E+00   1.68340E+00
   6 <-  7  9.08860E+00    9.08210E-01   4.48420E-01  -3.21670E+00   9.16180E+00  -9.34640E+00   3.56820E+00
   7 <-  7  9.22713E+00    6.89360E-01   2.30950E-01  -1.66560E+00   4.63090E+00  -4.56270E+00   1.64120E+00
   8 <-  7  9.36173E+00    1.99070E-01   1.21300E-02  -9.87710E-02   2.70650E-01  -2.62540E-01   8.89810E-02
   9 <-  7  9.49247E+00    2.55220E-01   6.12990E-02  -3.78230E-01   1.00630E+00  -1.01860E+00   3.92700E-01
  10 <-  7  9.61940E+00    5.29040E-01   2.20360E-01  -1.38290E+00   3.60430E+00  -3.56330E+00   1.31370E+00
