# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=8) -> e + H2(C1Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  8  8.96368E+00    1.57070E-07   9.49020E-05  -8.50560E-04   3.13960E-03  -4.45610E-03   2.13600E-03
   1 <-  8  9.25003E+00    2.08930E-02  -1.55730E-03   7.09390E-03  -1.50440E-02   1.49310E-02  -5.25660E-03
   2 <-  8  9.51974E+00    2.16130E-01  -7.60690E-03  -1.25230E-01   4.54890E-01  -5.20130E-01   2.20530E-01
   3 <-  8  9.77313E+00    9.09090E-01   1.56280E+00  -1.11380E+01   2.84600E+01  -3.07630E+01   1.24680E+01
   4 <-  8  1.00104E+01    1.74030E+00   3.74710E+00  -2.88090E+01   7.38150E+01  -7.82490E+01   3.10180E+01
   5 <-  8  1.02317E+01    4.89230E-01   1.50580E-01  -1.47750E+00   3.92730E+00  -4.11530E+00   1.61930E+00
   6 <-  8  1.04368E+01    8.68320E-01   1.37980E+00  -9.36890E+00   2.33580E+01  -2.47040E+01   9.74460E+00
   7 <-  8  1.06256E+01    4.08240E-01   4.42700E-01  -2.74250E+00   6.61720E+00  -6.91620E+00   2.67970E+00
   8 <-  8  1.07973E+01    5.26140E-02   1.11160E-02  -6.95800E-02   1.80040E-01  -2.07600E-01   9.28470E-02
   9 <-  8  1.09513E+01    3.10080E-01   3.03650E-01  -1.81160E+00   4.30650E+00  -4.47290E+00   1.73830E+00
  10 <-  8  1.10860E+01    3.87990E-01   4.30750E-01  -2.56690E+00   6.03600E+00  -6.17470E+00   2.35040E+00
  11 <-  8  1.11997E+01    3.63860E-01   3.14380E-01  -1.90960E+00   4.47990E+00  -4.53100E+00   1.69860E+00
  12 <-  8  1.12893E+01    2.93020E-01   1.60860E-01  -1.01410E+00   2.38780E+00  -2.39130E+00   8.84160E-01
  13 <-  8  1.13498E+01    2.00520E-01   5.97050E-02  -3.94880E-01   9.36070E-01  -9.29220E-01   3.39170E-01
  DE <-  8  1.13542E+01    1.12290E+00   1.17790E+00  -1.07820E+01   2.78130E+01  -2.98130E+01   1.16590E+01
