# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=8) -> e + H2(H1Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  8  1.06842E+01    2.97140E-08   4.53870E-08   1.97320E-06  -1.73250E-05   4.27530E-05  -2.86060E-05
   1 <-  8  1.09592E+01    3.71910E-03  -2.40820E-05  -3.61350E-04   3.45400E-03  -6.03520E-03   3.28170E-03
   2 <-  8  1.12084E+01    3.27630E-02  -3.55420E-03   4.18590E-02  -5.28380E-02   1.56760E-02   7.48700E-03
   3 <-  8  1.14253E+01    1.90030E-01  -1.09890E-01   9.86470E-01  -2.75380E+00   3.67120E+00  -1.79720E+00
   4 <-  8  1.16252E+01    1.36040E-01  -3.12480E-02   4.92300E-01  -1.35060E+00   1.76120E+00  -8.62210E-01
   5 <-  8  1.18139E+01    1.32170E-01  -5.17470E-02   3.10460E-01  -8.05310E-01   1.03620E+00  -4.92140E-01
   6 <-  8  1.19107E+01    5.43950E-14  -1.22850E-26   6.27930E-26  -1.66640E-25   2.14480E-25  -1.00790E-25
   7 <-  8  1.19549E+01    3.07540E-12  -3.38930E-23   1.05640E-22   1.04300E-22  -1.75110E-22  -1.10310E-23
   8 <-  8  1.19870E+01    5.86020E-02  -1.06700E-02   8.76120E-02  -2.36030E-01   3.05110E-01  -1.45350E-01
   9 <-  8  1.19992E+01    1.73780E-11  -5.01840E-22   6.77050E-21  -1.42460E-20   1.43330E-20  -5.70560E-21
  10 <-  8  1.20417E+01    6.64630E-11  -6.25090E-21   7.87460E-20  -1.76520E-19   2.02140E-19  -9.10770E-20
  11 <-  8  1.20820E+01    7.77190E-10  -1.46490E-18   1.05670E-17  -2.53100E-17   3.05900E-17  -1.40490E-17
  12 <-  8  1.21208E+01    1.27960E-08  -4.10800E-16   2.77500E-15  -6.82420E-15   8.43100E-15  -3.91630E-15
  13 <-  8  1.21440E+01    1.32630E-01  -4.45980E-02   2.94250E-01  -7.34670E-01   9.17940E-01  -4.28780E-01
  14 <-  8  1.21582E+01    1.29310E-07  -4.27470E-14   2.78440E-13  -7.01900E-13   8.82780E-13  -4.13630E-13
  15 <-  8  1.21942E+01    2.39270E-07  -1.50750E-13   9.53580E-13  -2.46720E-12   3.15290E-12  -1.48720E-12
  16 <-  8  1.22291E+01    1.05580E-06  -2.99100E-12   1.85360E-11  -4.88330E-11   6.29920E-11  -2.97930E-11
