# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=9) -> e + H2(D1Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  9  1.03890E+01   -2.47580E-07   6.74770E-06  -1.05540E-04   4.77440E-04  -8.16060E-04   4.95260E-04
   1 <-  9  1.06651E+01   -4.13160E-07   9.74030E-05  -6.07620E-04   1.34450E-03  -1.24660E-03   4.18600E-04
   2 <-  9  1.09252E+01    2.65050E-02  -2.37690E-03   9.48910E-03  -1.77130E-02   1.64040E-02  -5.59990E-03
   3 <-  9  1.11696E+01    1.86020E-01  -8.04760E-03  -3.54950E-02   1.01190E-01  -5.97790E-02   7.33280E-03
   4 <-  9  1.13989E+01    5.07750E-01   7.76960E-01  -4.32050E+00   9.47580E+00  -9.21850E+00   3.38530E+00
   5 <-  9  1.16131E+01    6.19160E-01   9.73970E-01  -5.43900E+00   1.18920E+01  -1.14570E+01   4.17010E+00
   6 <-  9  1.18126E+01    4.12870E-02   5.73630E-02  -2.81220E-01   6.08930E-01  -6.10970E-01   2.31670E-01
   7 <-  9  1.19974E+01    2.30020E-01   1.11960E-01  -6.50190E-01   1.45200E+00  -1.41300E+00   5.19270E-01
   8 <-  9  1.21674E+01    2.25030E-01   2.45050E-01  -1.27160E+00   2.77040E+00  -2.72630E+00   1.01460E+00
   9 <-  9  1.23225E+01    1.10340E-01   1.12750E-01  -5.57760E-01   1.20020E+00  -1.18540E+00   4.43050E-01
  10 <-  9  1.24622E+01    4.98610E-03   7.73130E-03  -3.63760E-02   7.77280E-02  -7.76060E-02   2.93270E-02
  11 <-  9  1.25863E+01    4.17700E-02   1.15990E-02  -5.79660E-02   1.23440E-01  -1.20160E-01   4.43010E-02
  12 <-  9  1.26939E+01    6.81160E-02   4.57890E-02  -2.23380E-01   4.74610E-01  -4.64190E-01   1.71860E-01
  13 <-  9  1.27844E+01    7.74050E-02   5.95040E-02  -2.89630E-01   6.15650E-01  -6.02250E-01   2.22910E-01
  14 <-  9  1.28567E+01    7.61480E-02   5.15240E-02  -2.51790E-01   5.36390E-01  -5.24640E-01   1.94070E-01
  15 <-  9  1.29100E+01    6.67570E-02   3.47780E-02  -1.71070E-01   3.65650E-01  -3.57840E-01   1.32410E-01
  16 <-  9  1.29432E+01    4.95210E-02   1.73070E-02  -8.56340E-02   1.83560E-01  -1.79730E-01   6.65220E-02
  17 <-  9  1.29564E+01    2.46050E-02   4.08510E-03  -2.02700E-02   4.35060E-02  -4.26010E-02   1.57670E-02
  18 <-  9  1.29593E+01    1.10160E-02   8.10530E-04  -4.02450E-03   8.64020E-03  -8.46060E-03   3.13140E-03
  DE <-  9  1.29595E+01    4.53950E-01   3.77010E-01  -2.50300E+00   5.85650E+00  -5.96390E+00   2.25100E+00
